Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
0,2025-12-09 21:55:22.079871,121833859,B,0,0,0,0
0,2025-12-10 00:28:44.126334,121835736,B,2,157,1,24
0,2025-12-10 00:32:57.851629,121835736,B,0,193,0,27
0,2025-12-10 00:39:10.246772,121835736,B,0,110,0,21
0,2025-12-10 00:42:26.757157,121835736,B,0,87,0,12
0,2025-12-10 01:51:03.774992,12184189167,B,0,0,0,0
0,2025-12-10 01:51:08.796751,121835736,B,0,82,0,12
0,2025-12-10 01:53:29.146922,121833859,B,0,272,0,39
0,2025-12-10 01:54:14.211123,121833859,B,0,0,0,0
0,2025-12-10 01:54:42.640289,12184102124,B,53,130,9,16
0,2025-12-10 01:55:13.039509,12184102124,B,0,0,0,0
0,2025-12-10 01:56:40.012378,121835736,B,0,115,0,17
0,2025-12-10 01:58:34.714593,12185199220,B,0,12,0,3
0,2025-12-10 01:58:39.575077,12185199220,B,0,0,0,0
0,2025-12-10 02:00:55.032580,12184189167,B,105,0,15,0
0,2025-12-10 02:02:19.273533,121835736,B,124,96,37,13
0,2025-12-10 02:04:51.089648,12185199220,B,123,0,16,0
0,2025-12-10 02:05:13.988786,12185199220,B,0,0,0,0
0,2025-12-10 02:06:14.690998,12184102124,B,23,121,4,15
0,2025-12-10 02:06:37.908930,12184102124,B,0,0,0,0
0,2025-12-10 02:06:41.025904,12184189167,B,63,21,10,3
0,2025-12-10 02:13:36.308533,12184102124,B,159,0,20,0
0,2025-12-10 02:13:59.815012,12184102124,B,0,0,0,0
0,2025-12-10 04:03:34.635659,121833859,B,0,186,0,25
0,2025-12-10 04:04:03.595104,121833859,B,0,0,0,0
0,2025-12-10 04:08:12.908086,121833859,B,0,202,0,27
0,2025-12-10 04:08:46.377940,121833859,B,0,0,0,0
0,2025-12-10 04:09:47.429958,121835736,B,0,23,0,4
0,2025-12-10 05:23:29.361934,12184189167,B,92,0,12,0
0,2025-12-10 05:26:39.540076,12184102124,B,64,18,10,3
0,2025-12-10 05:26:55.835358,12184102124,B,0,0,0,0
0,2025-12-10 05:27:07.444037,12185199220,B,0,33,0,5
0,2025-12-10 05:27:18.317711,12185199220,B,0,0,0,0
0,2025-12-10 05:36:49.958254,12184189167,B,124,5,16,1
0,2025-12-10 06:49:42.417858,121833859,B,0,337,0,44
0,2025-12-10 06:50:34.018405,121833859,B,0,0,0,0
0,2025-12-10 06:56:31.380649,121835736,B,0,103,0,14
0,2025-12-10 06:59:28.815123,12184102124,B,53,97,7,13
0,2025-12-10 06:59:52.673659,12184102124,B,0,0,0,0
0,2025-12-10 07:06:48.417735,121833859,B,128,0,19,0
0,2025-12-10 07:07:11.572197,121833859,B,32,13,6,3
0,2025-12-10 07:07:26.957007,121833859,B,0,0,0,0
0,2025-12-10 07:09:05.347188,12184102124,B,78,73,10,9
0,2025-12-10 07:09:28.069065,12184102124,B,0,0,0,0
0,2025-12-10 08:40:28.189948,121835736,B,0,90,0,12
0,2025-12-10 08:40:47.874030,12184102124,B,22,53,4,7
0,2025-12-10 08:41:06.327430,12184102124,B,0,0,0,0
0,2025-12-10 08:41:08.342476,12184102124,B,0,0,0,0
0,2025-12-10 08:41:09.876640,12184102124,B,0,0,0,0
0,2025-12-10 08:42:36.530546,121835736,B,0,58,0,10
0,2025-12-10 08:45:31.118949,12185199220,B,0,16,0,3
0,2025-12-10 08:48:21.421609,121835736,B,71,138,15,19
0,2025-12-10 08:49:13.630478,12184189167,B,95,28,14,4
0,2025-12-10 08:49:57.381922,121833859,B,293,102,39,14
0,2025-12-10 08:51:03.007029,121833859,B,0,4,0,1
0,2025-12-10 08:51:08.045295,121833859,B,0,0,0,0
0,2025-12-10 08:51:50.276742,12184102124,B,134,1,17,1
0,2025-12-10 08:52:12.439637,12184102124,B,0,0,0,0
0,2025-12-10 08:55:17.276405,12184189167,B,62,37,9,6
0,2025-12-10 09:03:41.115001,12184102124,B,72,74,10,9
0,2025-12-10 09:04:03.182669,12184102124,B,0,0,0,0
0,2025-12-10 09:06:14.387496,121833859,B,1,121,1,16
0,2025-12-10 09:06:35.223420,121833859,B,0,0,0,0
0,2025-12-10 09:11:03.486673,121833859,B,239,0,29,0
0,2025-12-10 09:11:37.641655,121833859,B,0,0,0,0
0,2025-12-10 09:13:32.024640,12184189167,B,95,4,15,1
0,2025-12-10 09:33:55.975705,121835736,B,0,89,0,12
0,2025-12-10 09:40:08.977066,12185199220,B,0,36,0,6
0,2025-12-10 09:40:15.981460,12185199220,B,0,19,0,2
0,2025-12-10 09:40:19.035795,12185199220,B,0,11,0,3
0,2025-12-10 09:40:52.792503,12184102124,B,31,29,4,4
0,2025-12-10 09:41:03.202066,12184102124,B,0,0,0,0
0,2025-12-10 09:41:05.088624,12185199220,B,0,4,0,1
0,2025-12-10 09:44:56.170894,121835736,B,0,105,0,16
0,2025-12-10 11:05:21.300305,12184189167,B,0,0,0,0
0,2025-12-10 11:09:08.239899,12185199220,B,0,0,0,0
0,2025-12-10 11:11:40.967888,12184102124,B,126,3,16,1
0,2025-12-10 11:12:00.044230,12184102124,B,0,0,0,0
0,2025-12-10 11:21:44.315981,121833859,B,55,0,8,0
0,2025-12-10 11:21:54.069914,121833859,B,3,0,2,0
0,2025-12-10 11:22:01.090254,121833859,B,100,7,14,3
0,2025-12-10 11:22:22.869569,121833859,B,0,0,0,0
0,2025-12-10 11:22:58.209901,121835736,B,115,0,17,0
0,2025-12-10 11:28:06.272637,12185199220,B,133,0,19,0
0,2025-12-10 11:28:28.083797,12185199220,B,0,0,0,0
0,2025-12-10 11:33:40.846890,121835736,B,0,3,0,1
0,2025-12-10 11:34:25.173221,121833859,B,13,0,3,0
0,2025-12-10 11:34:31.074433,121833859,B,0,0,0,0
0,2025-12-10 11:57:58.918189,121835736,B,80,0,24,0
0,2025-12-10 12:16:16.604175,12184102124,B,75,0,10,0
0,2025-12-10 12:16:30.165340,12184102124,B,0,0,0,0
0,2025-12-10 12:40:07.026885,121833859,B,0,65,0,8
0,2025-12-10 12:40:17.613492,121833859,B,0,0,0,0
0,2025-12-10 12:54:59.712501,12184189167,B,14,47,3,7
