Mode,Start_Time,Animal,Unit,Licks1,Licks2,Drinks1,Drinks2
0,2025-12-05 23:35:52.370449,12184189167,B,12,76,3,10
0,2025-12-06 01:16:09.986279,121833859,B,0,0,0,0
0,2025-12-06 01:20:43.063309,121833859,B,9,111,3,13
0,2025-12-06 01:20:59.855480,121833859,B,0,0,0,0
0,2025-12-06 01:38:25.145948,12185199220,B,0,25,0,4
0,2025-12-06 01:38:33.333591,12184189167,B,0,0,0,0
0,2025-12-06 01:38:55.116060,121835736,B,0,109,0,17
0,2025-12-06 01:44:02.175782,12184102124,B,0,136,0,16
0,2025-12-06 01:44:20.167851,12184102124,B,0,0,0,0
0,2025-12-06 01:47:21.995083,12185199220,B,0,143,0,21
0,2025-12-06 01:47:46.699965,12185199220,B,0,0,0,0
0,2025-12-06 01:52:46.852957,121835736,B,32,138,9,22
0,2025-12-06 01:54:59.408308,12184189167,B,0,152,0,19
0,2025-12-06 01:56:31.953102,12184102124,B,4,140,3,19
0,2025-12-06 01:56:56.772449,12184102124,B,0,0,0,0
0,2025-12-06 02:03:42.869135,12184189167,B,9,97,3,17
0,2025-12-06 02:08:07.214662,12184189167,B,2,122,1,15
0,2025-12-06 02:10:53.067238,12185199220,B,0,112,0,16
0,2025-12-06 02:11:11.377017,12185199220,B,0,0,0,0
0,2025-12-06 02:15:09.271214,12184102124,B,0,144,0,20
0,2025-12-06 02:15:32.492516,12184102124,B,0,0,0,0
0,2025-12-06 02:15:36.090964,12184102124,B,0,0,0,0
0,2025-12-06 02:15:38.393114,12184102124,B,0,0,0,0
0,2025-12-06 02:15:44.454548,12184102124,B,0,0,0,0
0,2025-12-06 02:23:32.200058,12184189167,B,0,58,0,7
0,2025-12-06 02:23:45.745200,121833859,B,19,47,7,7
0,2025-12-06 02:23:57.099096,121833859,B,0,0,0,0
0,2025-12-06 02:26:50.914101,121833859,B,32,39,11,11
0,2025-12-06 02:27:07.705623,121833859,B,0,0,0,0
0,2025-12-06 03:42:47.644968,121833859,B,33,106,9,14
0,2025-12-06 03:43:05.603344,121833859,B,0,0,0,0
0,2025-12-06 03:49:01.853768,121833859,B,48,69,12,13
0,2025-12-06 03:49:23.010335,121833859,B,0,0,0,0
0,2025-12-06 04:09:34.123646,12184189167,B,3,72,1,10
0,2025-12-06 04:17:21.740413,12184189167,B,0,94,0,12
0,2025-12-06 04:18:58.651199,12184102124,B,0,137,0,17
0,2025-12-06 04:19:18.289635,12184102124,B,0,0,0,0
0,2025-12-06 04:24:50.647304,12184189167,B,5,107,1,14
0,2025-12-06 04:30:18.544857,12184189167,B,0,87,0,10
0,2025-12-06 04:30:43.380312,12184189167,B,1,1,1,1
0,2025-12-06 04:35:02.863179,12185199220,B,0,101,0,14
0,2025-12-06 05:23:34.225035,121835736,B,2,1,1,1
0,2025-12-06 05:25:49.147795,121835736,B,0,190,0,25
0,2025-12-06 05:35:24.488194,12184102124,B,0,148,0,19
0,2025-12-06 05:35:46.715070,12184102124,B,0,0,0,0
0,2025-12-06 05:41:23.582942,121833859,B,33,81,8,12
0,2025-12-06 05:41:41.221928,121833859,B,3,2,1,1
0,2025-12-06 05:41:44.949365,121833859,B,0,0,0,0
0,2025-12-06 05:41:49.074351,121833859,B,0,0,0,0
0,2025-12-06 05:48:51.914903,121833859,B,36,43,12,10
0,2025-12-06 05:49:07.714163,121833859,B,0,0,0,0
0,2025-12-06 05:53:21.984365,12184102124,B,0,132,0,17
0,2025-12-06 05:53:41.030751,12184102124,B,0,0,0,0
0,2025-12-06 05:57:40.076687,12184189167,B,10,59,3,8
0,2025-12-06 05:58:47.802662,121833859,B,35,62,14,15
0,2025-12-06 05:59:09.647072,121833859,B,0,0,0,0
0,2025-12-06 07:15:34.701391,121833859,B,39,91,12,17
0,2025-12-06 07:15:58.833050,121833859,B,0,0,0,0
0,2025-12-06 07:16:09.659131,12184189167,B,6,3,3,2
0,2025-12-06 07:22:48.431274,121835736,B,0,311,0,23
0,2025-12-06 07:29:14.473226,12184189167,B,0,167,0,21
0,2025-12-06 07:33:28.982784,12184102124,B,0,162,0,20
